Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
20;20;2019-01-01T11:00:20.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;6,0;20,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
20;20;2019-01-01T11:00:20.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;21,0;31,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
21;21;2019-01-01T11:00:21.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;7,0;20,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
21;21;2019-01-01T11:00:21.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;22,0;30,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
22;22;2019-01-01T11:00:22.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;8,0;20,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
22;22;2019-01-01T11:00:22.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;23,0;29,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
23;23;2019-01-01T11:00:23.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;9,0;20,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
23;23;2019-01-01T11:00:23.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;24,0;28,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
24;24;2019-01-01T11:00:24.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;10,0;19,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
24;24;2019-01-01T11:00:24.0000000+01:00;10;red;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;50.0;25,0;27,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
25;25;2019-01-01T11:00:25.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;10,0;18,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
25;25;2019-01-01T11:00:25.0000000+01:00;10;red;standing;100;False;5;0;0;1;False;0;10.0;10.0;False;0;1.0;50.0;26,0;26,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
26;26;2019-01-01T11:00:26.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;10,0;17,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
26;26;2019-01-01T11:00:26.0000000+01:00;10;red;standing;100;False;5;0;0;1;False;0;10.0;10.0;False;0;1.0;50.0;25,0;27,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
27;27;2019-01-01T11:00:27.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;10,0;16,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
27;27;2019-01-01T11:00:27.0000000+01:00;10;red;standing;100;False;5;0;0;1;False;0;10.0;10.0;False;0;1.0;50.0;24,0;26,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
28;28;2019-01-01T11:00:28.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;10,0;15,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
28;28;2019-01-01T11:00:28.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
29;29;2019-01-01T11:00:29.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;9,0;14,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
29;29;2019-01-01T11:00:29.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
