Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
60;60;2019-01-01T11:01:00.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;4,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
61;61;2019-01-01T11:01:01.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;5,0;47,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
62;62;2019-01-01T11:01:02.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;6,0;46,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
63;63;2019-01-01T11:01:03.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;7,0;45,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
64;64;2019-01-01T11:01:04.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;8,0;44,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
65;65;2019-01-01T11:01:05.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;9,0;43,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
66;66;2019-01-01T11:01:06.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;10,0;42,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
67;67;2019-01-01T11:01:07.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;11,0;41,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
68;68;2019-01-01T11:01:08.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;12,0;40,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
69;69;2019-01-01T11:01:09.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;13,0;39,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
70;70;2019-01-01T11:01:10.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;14,0;38,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
71;71;2019-01-01T11:01:11.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;15,0;37,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
72;72;2019-01-01T11:01:12.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;16,0;36,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
73;73;2019-01-01T11:01:13.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;17,0;35,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
74;74;2019-01-01T11:01:14.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;18,0;34,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
